Time	Channel 1 (mV)	Channel 2 (mV)	Channel 3 (mV)	Channel 4 (mV)	Channel 5 (mV)	Channel 6 (mV)	Channel 7 (mV)	Channel 8 (mV)	Channel 1_cal (µmol/L)	Channel 2_cal (µmol/L)	Channel 3_cal ()	Channel 4_cal ()	Channel 5_cal ()	Channel 6_cal ()	Channel 7_cal ()	Channel 8_cal ()	Motor 1 (mm)	Motor 2 (mm)	GroupId
28072023 202401.598	353.48	356.51	n/a	n/a	n/a	n/a	n/a	n/a	4.48	4.11	n/a	n/a	n/a	n/a	n/a	n/a	7.995	-10.000	1
28072023 202423.000	357.21	346.92	n/a	n/a	n/a	n/a	n/a	n/a	4.53	3.99	n/a	n/a	n/a	n/a	n/a	n/a	9.994	-10.000	1
28072023 202444.401	344.21	307.31	n/a	n/a	n/a	n/a	n/a	n/a	4.36	3.53	n/a	n/a	n/a	n/a	n/a	n/a	11.993	-10.000	1
28072023 202505.803	248.08	254.61	n/a	n/a	n/a	n/a	n/a	n/a	3.14	2.92	n/a	n/a	n/a	n/a	n/a	n/a	13.991	-10.000	1
28072023 202527.204	171.23	183.15	n/a	n/a	n/a	n/a	n/a	n/a	2.16	2.08	n/a	n/a	n/a	n/a	n/a	n/a	15.990	-10.000	1
28072023 202548.606	205.48	155.78	n/a	n/a	n/a	n/a	n/a	n/a	2.60	1.76	n/a	n/a	n/a	n/a	n/a	n/a	17.989	-10.000	1
28072023 202609.982	66.65	81.10	n/a	n/a	n/a	n/a	n/a	n/a	0.83	0.89	n/a	n/a	n/a	n/a	n/a	n/a	19.988	-10.000	1
28072023 202631.383	80.09	67.04	n/a	n/a	n/a	n/a	n/a	n/a	1.00	0.73	n/a	n/a	n/a	n/a	n/a	n/a	21.986	-10.000	1
28072023 202652.785	98.91	80.72	n/a	n/a	n/a	n/a	n/a	n/a	1.24	0.89	n/a	n/a	n/a	n/a	n/a	n/a	23.985	-10.000	1
28072023 202714.186	89.85	185.08	n/a	n/a	n/a	n/a	n/a	n/a	1.12	2.10	n/a	n/a	n/a	n/a	n/a	n/a	25.984	-10.000	1
28072023 202735.485	126.13	155.54	n/a	n/a	n/a	n/a	n/a	n/a	1.59	1.76	n/a	n/a	n/a	n/a	n/a	n/a	27.983	-10.000	1
28072023 202756.684	135.34	171.89	n/a	n/a	n/a	n/a	n/a	n/a	1.70	1.95	n/a	n/a	n/a	n/a	n/a	n/a	29.981	-10.000	1
28072023 202818.084	93.81	121.99	n/a	n/a	n/a	n/a	n/a	n/a	1.17	1.37	n/a	n/a	n/a	n/a	n/a	n/a	31.980	-10.000	1
28072023 202839.485	52.13	56.27	n/a	n/a	n/a	n/a	n/a	n/a	0.64	0.60	n/a	n/a	n/a	n/a	n/a	n/a	33.979	-10.000	1
28072023 202900.887	55.47	61.87	n/a	n/a	n/a	n/a	n/a	n/a	0.68	0.67	n/a	n/a	n/a	n/a	n/a	n/a	35.978	-10.000	1
28072023 202922.288	49.32	9.33	n/a	n/a	n/a	n/a	n/a	n/a	0.61	0.05	n/a	n/a	n/a	n/a	n/a	n/a	37.976	-10.000	1
28072023 202943.690	48.57	41.13	n/a	n/a	n/a	n/a	n/a	n/a	0.60	0.42	n/a	n/a	n/a	n/a	n/a	n/a	39.975	-10.000	1
28072023 203005.091	34.67	20.06	n/a	n/a	n/a	n/a	n/a	n/a	0.42	0.18	n/a	n/a	n/a	n/a	n/a	n/a	41.974	-10.000	1
28072023 203026.390	8.43	24.94	n/a	n/a	n/a	n/a	n/a	n/a	0.09	0.23	n/a	n/a	n/a	n/a	n/a	n/a	43.973	-10.000	1
28072023 203047.587	0.48	16.98	n/a	n/a	n/a	n/a	n/a	n/a	-0.02	0.14	n/a	n/a	n/a	n/a	n/a	n/a	45.972	-10.000	1
28072023 203108.989	-0.08	27.65	n/a	n/a	n/a	n/a	n/a	n/a	-0.02	0.27	n/a	n/a	n/a	n/a	n/a	n/a	47.970	-10.000	1
28072023 203130.391	-0.34	11.40	n/a	n/a	n/a	n/a	n/a	n/a	-0.03	0.08	n/a	n/a	n/a	n/a	n/a	n/a	49.969	-10.000	1
28072023 212252.588	486.63	516.68	n/a	n/a	n/a	n/a	n/a	n/a	6.18	5.97	n/a	n/a	n/a	n/a	n/a	n/a	0.000	-10.000	1
28072023 212313.784	418.63	350.64	n/a	n/a	n/a	n/a	n/a	n/a	5.31	4.04	n/a	n/a	n/a	n/a	n/a	n/a	1.999	-10.000	1
28072023 212334.981	414.87	310.35	n/a	n/a	n/a	n/a	n/a	n/a	5.26	3.57	n/a	n/a	n/a	n/a	n/a	n/a	3.998	-10.000	1
28072023 212356.382	313.86	255.74	n/a	n/a	n/a	n/a	n/a	n/a	3.98	2.93	n/a	n/a	n/a	n/a	n/a	n/a	5.996	-10.000	1
28072023 212417.681	306.75	252.63	n/a	n/a	n/a	n/a	n/a	n/a	3.89	2.89	n/a	n/a	n/a	n/a	n/a	n/a	7.995	-10.000	1
28072023 212438.878	275.25	169.71	n/a	n/a	n/a	n/a	n/a	n/a	3.48	1.92	n/a	n/a	n/a	n/a	n/a	n/a	9.994	-10.000	1
28072023 212459.972	189.20	150.30	n/a	n/a	n/a	n/a	n/a	n/a	2.39	1.70	n/a	n/a	n/a	n/a	n/a	n/a	11.993	-10.000	1
28072023 212521.169	113.19	19.05	n/a	n/a	n/a	n/a	n/a	n/a	1.42	0.17	n/a	n/a	n/a	n/a	n/a	n/a	13.991	-10.000	1
28072023 212542.263	79.59	63.29	n/a	n/a	n/a	n/a	n/a	n/a	0.99	0.68	n/a	n/a	n/a	n/a	n/a	n/a	15.990	-10.000	1
28072023 212603.485	74.83	48.94	n/a	n/a	n/a	n/a	n/a	n/a	0.93	0.51	n/a	n/a	n/a	n/a	n/a	n/a	17.989	-10.000	1
28072023 212624.580	38.37	44.08	n/a	n/a	n/a	n/a	n/a	n/a	0.47	0.46	n/a	n/a	n/a	n/a	n/a	n/a	19.988	-10.000	1
28072023 212645.776	37.55	36.65	n/a	n/a	n/a	n/a	n/a	n/a	0.46	0.37	n/a	n/a	n/a	n/a	n/a	n/a	21.986	-10.000	1
28072023 212706.870	48.88	38.69	n/a	n/a	n/a	n/a	n/a	n/a	0.60	0.39	n/a	n/a	n/a	n/a	n/a	n/a	23.985	-10.000	1
28072023 212728.067	40.18	62.38	n/a	n/a	n/a	n/a	n/a	n/a	0.49	0.67	n/a	n/a	n/a	n/a	n/a	n/a	25.984	-10.000	1
28072023 212749.366	36.84	95.34	n/a	n/a	n/a	n/a	n/a	n/a	0.45	1.06	n/a	n/a	n/a	n/a	n/a	n/a	27.983	-10.000	1
28072023 212810.563	38.17	58.48	n/a	n/a	n/a	n/a	n/a	n/a	0.46	0.63	n/a	n/a	n/a	n/a	n/a	n/a	29.981	-10.000	1
28072023 212831.683	50.77	96.35	n/a	n/a	n/a	n/a	n/a	n/a	0.63	1.07	n/a	n/a	n/a	n/a	n/a	n/a	31.980	-10.000	1
28072023 212852.879	63.72	94.68	n/a	n/a	n/a	n/a	n/a	n/a	0.79	1.05	n/a	n/a	n/a	n/a	n/a	n/a	33.979	-10.000	1
28072023 212913.973	67.90	60.34	n/a	n/a	n/a	n/a	n/a	n/a	0.84	0.65	n/a	n/a	n/a	n/a	n/a	n/a	35.978	-10.000	1
28072023 212935.170	56.15	54.62	n/a	n/a	n/a	n/a	n/a	n/a	0.69	0.58	n/a	n/a	n/a	n/a	n/a	n/a	37.976	-10.000	1
28072023 212956.572	14.37	42.33	n/a	n/a	n/a	n/a	n/a	n/a	0.16	0.44	n/a	n/a	n/a	n/a	n/a	n/a	39.975	-10.000	1
28072023 213017.973	6.47	5.69	n/a	n/a	n/a	n/a	n/a	n/a	0.06	0.01	n/a	n/a	n/a	n/a	n/a	n/a	41.974	-10.000	1
28072023 213039.272	4.59	2.55	n/a	n/a	n/a	n/a	n/a	n/a	0.04	-0.03	n/a	n/a	n/a	n/a	n/a	n/a	43.973	-10.000	1
28072023 213100.468	1.24	2.45	n/a	n/a	n/a	n/a	n/a	n/a	-0.01	-0.03	n/a	n/a	n/a	n/a	n/a	n/a	45.972	-10.000	1
28072023 213121.563	0.31	2.72	n/a	n/a	n/a	n/a	n/a	n/a	-0.02	-0.02	n/a	n/a	n/a	n/a	n/a	n/a	47.970	-10.000	1
28072023 213142.759	-0.37	2.31	n/a	n/a	n/a	n/a	n/a	n/a	-0.03	-0.03	n/a	n/a	n/a	n/a	n/a	n/a	49.969	-10.000	1
28072023 222304.252	505.91	561.55	n/a	n/a	n/a	n/a	n/a	n/a	6.42	6.50	n/a	n/a	n/a	n/a	n/a	n/a	0.000	-10.000	1
28072023 222325.448	394.10	346.23	n/a	n/a	n/a	n/a	n/a	n/a	5.00	3.99	n/a	n/a	n/a	n/a	n/a	n/a	1.999	-10.000	1
28072023 222346.542	388.60	317.55	n/a	n/a	n/a	n/a	n/a	n/a	4.93	3.65	n/a	n/a	n/a	n/a	n/a	n/a	3.998	-10.000	1
28072023 222407.739	353.49	292.20	n/a	n/a	n/a	n/a	n/a	n/a	4.48	3.35	n/a	n/a	n/a	n/a	n/a	n/a	5.996	-10.000	1
28072023 222428.833	310.72	269.78	n/a	n/a	n/a	n/a	n/a	n/a	3.94	3.09	n/a	n/a	n/a	n/a	n/a	n/a	7.995	-10.000	1
28072023 222450.030	238.43	203.39	n/a	n/a	n/a	n/a	n/a	n/a	3.02	2.32	n/a	n/a	n/a	n/a	n/a	n/a	9.994	-10.000	1
28072023 222511.155	205.49	143.42	n/a	n/a	n/a	n/a	n/a	n/a	2.60	1.62	n/a	n/a	n/a	n/a	n/a	n/a	11.993	-10.000	1
28072023 222532.346	143.36	90.43	n/a	n/a	n/a	n/a	n/a	n/a	1.80	1.00	n/a	n/a	n/a	n/a	n/a	n/a	13.991	-10.000	1
28072023 222553.440	78.78	79.69	n/a	n/a	n/a	n/a	n/a	n/a	0.98	0.87	n/a	n/a	n/a	n/a	n/a	n/a	15.990	-10.000	1
28072023 222614.535	63.14	52.01	n/a	n/a	n/a	n/a	n/a	n/a	0.78	0.55	n/a	n/a	n/a	n/a	n/a	n/a	17.989	-10.000	1
28072023 222635.731	41.62	28.20	n/a	n/a	n/a	n/a	n/a	n/a	0.51	0.27	n/a	n/a	n/a	n/a	n/a	n/a	19.988	-10.000	1
28072023 222656.825	54.91	32.96	n/a	n/a	n/a	n/a	n/a	n/a	0.68	0.33	n/a	n/a	n/a	n/a	n/a	n/a	21.986	-10.000	1
28072023 222717.945	55.41	44.58	n/a	n/a	n/a	n/a	n/a	n/a	0.68	0.46	n/a	n/a	n/a	n/a	n/a	n/a	23.985	-10.000	1
28072023 222739.142	50.01	46.89	n/a	n/a	n/a	n/a	n/a	n/a	0.62	0.49	n/a	n/a	n/a	n/a	n/a	n/a	25.984	-10.000	1
28072023 222800.236	43.35	88.87	n/a	n/a	n/a	n/a	n/a	n/a	0.53	0.98	n/a	n/a	n/a	n/a	n/a	n/a	27.983	-10.000	1
28072023 222821.432	56.64	63.85	n/a	n/a	n/a	n/a	n/a	n/a	0.70	0.69	n/a	n/a	n/a	n/a	n/a	n/a	29.981	-10.000	1
28072023 222842.526	53.07	97.45	n/a	n/a	n/a	n/a	n/a	n/a	0.65	1.08	n/a	n/a	n/a	n/a	n/a	n/a	31.980	-10.000	1
28072023 222903.749	43.78	102.13	n/a	n/a	n/a	n/a	n/a	n/a	0.54	1.14	n/a	n/a	n/a	n/a	n/a	n/a	33.979	-10.000	1
28072023 222924.843	38.77	55.11	n/a	n/a	n/a	n/a	n/a	n/a	0.47	0.59	n/a	n/a	n/a	n/a	n/a	n/a	35.978	-10.000	1
28072023 222945.937	34.72	49.97	n/a	n/a	n/a	n/a	n/a	n/a	0.42	0.53	n/a	n/a	n/a	n/a	n/a	n/a	37.976	-10.000	1
28072023 223007.133	27.13	48.08	n/a	n/a	n/a	n/a	n/a	n/a	0.32	0.50	n/a	n/a	n/a	n/a	n/a	n/a	39.975	-10.000	1
28072023 223028.228	20.53	5.61	n/a	n/a	n/a	n/a	n/a	n/a	0.24	0.01	n/a	n/a	n/a	n/a	n/a	n/a	41.974	-10.000	1
28072023 223049.424	21.89	5.41	n/a	n/a	n/a	n/a	n/a	n/a	0.26	0.01	n/a	n/a	n/a	n/a	n/a	n/a	43.973	-10.000	1
28072023 223110.544	12.77	5.56	n/a	n/a	n/a	n/a	n/a	n/a	0.14	0.01	n/a	n/a	n/a	n/a	n/a	n/a	45.972	-10.000	1
28072023 223131.638	5.29	2.37	n/a	n/a	n/a	n/a	n/a	n/a	0.05	-0.03	n/a	n/a	n/a	n/a	n/a	n/a	47.970	-10.000	1
28072023 223152.835	3.88	1.48	n/a	n/a	n/a	n/a	n/a	n/a	0.03	-0.04	n/a	n/a	n/a	n/a	n/a	n/a	49.969	-10.000	1
28072023 232314.313	400.39	522.60	n/a	n/a	n/a	n/a	n/a	n/a	5.08	6.04	n/a	n/a	n/a	n/a	n/a	n/a	0.000	-10.000	1
28072023 232335.612	346.54	321.42	n/a	n/a	n/a	n/a	n/a	n/a	4.39	3.70	n/a	n/a	n/a	n/a	n/a	n/a	1.999	-10.000	1
28072023 232357.014	326.72	286.22	n/a	n/a	n/a	n/a	n/a	n/a	4.14	3.28	n/a	n/a	n/a	n/a	n/a	n/a	3.998	-10.000	1
28072023 232418.312	224.70	272.59	n/a	n/a	n/a	n/a	n/a	n/a	2.84	3.13	n/a	n/a	n/a	n/a	n/a	n/a	5.996	-10.000	1
28072023 232439.509	249.34	194.56	n/a	n/a	n/a	n/a	n/a	n/a	3.15	2.21	n/a	n/a	n/a	n/a	n/a	n/a	7.995	-10.000	1
28072023 232500.603	198.99	113.46	n/a	n/a	n/a	n/a	n/a	n/a	2.51	1.27	n/a	n/a	n/a	n/a	n/a	n/a	9.994	-10.000	1
28072023 232521.826	58.76	161.62	n/a	n/a	n/a	n/a	n/a	n/a	0.73	1.83	n/a	n/a	n/a	n/a	n/a	n/a	11.993	-10.000	1
28072023 232543.202	120.56	24.60	n/a	n/a	n/a	n/a	n/a	n/a	1.51	0.23	n/a	n/a	n/a	n/a	n/a	n/a	13.991	-10.000	1
28072023 232604.322	61.00	15.70	n/a	n/a	n/a	n/a	n/a	n/a	0.76	0.13	n/a	n/a	n/a	n/a	n/a	n/a	15.990	-10.000	1
28072023 232625.519	66.83	68.37	n/a	n/a	n/a	n/a	n/a	n/a	0.83	0.74	n/a	n/a	n/a	n/a	n/a	n/a	17.989	-10.000	1
28072023 232646.920	55.48	28.57	n/a	n/a	n/a	n/a	n/a	n/a	0.69	0.28	n/a	n/a	n/a	n/a	n/a	n/a	19.988	-10.000	1
28072023 232708.219	39.36	20.44	n/a	n/a	n/a	n/a	n/a	n/a	0.48	0.18	n/a	n/a	n/a	n/a	n/a	n/a	21.986	-10.000	1
28072023 232729.416	47.94	23.97	n/a	n/a	n/a	n/a	n/a	n/a	0.59	0.22	n/a	n/a	n/a	n/a	n/a	n/a	23.985	-10.000	1
28072023 232750.511	26.90	24.77	n/a	n/a	n/a	n/a	n/a	n/a	0.32	0.23	n/a	n/a	n/a	n/a	n/a	n/a	25.984	-10.000	1
28072023 232811.707	27.97	32.90	n/a	n/a	n/a	n/a	n/a	n/a	0.33	0.33	n/a	n/a	n/a	n/a	n/a	n/a	27.983	-10.000	1
28072023 232832.801	24.25	25.94	n/a	n/a	n/a	n/a	n/a	n/a	0.29	0.25	n/a	n/a	n/a	n/a	n/a	n/a	29.981	-10.000	1
28072023 232854.023	13.62	10.94	n/a	n/a	n/a	n/a	n/a	n/a	0.15	0.07	n/a	n/a	n/a	n/a	n/a	n/a	31.980	-10.000	1
28072023 232915.118	9.24	9.97	n/a	n/a	n/a	n/a	n/a	n/a	0.10	0.06	n/a	n/a	n/a	n/a	n/a	n/a	33.979	-10.000	1
28072023 232936.314	6.39	2.40	n/a	n/a	n/a	n/a	n/a	n/a	0.06	-0.03	n/a	n/a	n/a	n/a	n/a	n/a	35.978	-10.000	1
28072023 232957.409	2.88	2.99	n/a	n/a	n/a	n/a	n/a	n/a	0.02	-0.02	n/a	n/a	n/a	n/a	n/a	n/a	37.976	-10.000	1
28072023 233018.605	3.32	2.14	n/a	n/a	n/a	n/a	n/a	n/a	0.02	-0.03	n/a	n/a	n/a	n/a	n/a	n/a	39.975	-10.000	1
28072023 233039.726	1.20	2.34	n/a	n/a	n/a	n/a	n/a	n/a	-0.01	-0.03	n/a	n/a	n/a	n/a	n/a	n/a	41.974	-10.000	1
28072023 233100.922	1.24	2.35	n/a	n/a	n/a	n/a	n/a	n/a	-0.01	-0.03	n/a	n/a	n/a	n/a	n/a	n/a	43.973	-10.000	1
28072023 233122.221	0.44	2.81	n/a	n/a	n/a	n/a	n/a	n/a	-0.02	-0.02	n/a	n/a	n/a	n/a	n/a	n/a	45.972	-10.000	1
28072023 233143.418	-0.19	1.65	n/a	n/a	n/a	n/a	n/a	n/a	-0.02	-0.04	n/a	n/a	n/a	n/a	n/a	n/a	47.970	-10.000	1
28072023 233204.512	-0.35	1.38	n/a	n/a	n/a	n/a	n/a	n/a	-0.03	-0.04	n/a	n/a	n/a	n/a	n/a	n/a	49.969	-10.000	1
29072023 002326.695	360.59	513.40	n/a	n/a	n/a	n/a	n/a	n/a	4.57	5.94	n/a	n/a	n/a	n/a	n/a	n/a	0.000	-10.000	1
29072023 002347.992	313.13	303.87	n/a	n/a	n/a	n/a	n/a	n/a	3.97	3.49	n/a	n/a	n/a	n/a	n/a	n/a	1.999	-10.000	1
29072023 002409.317	345.09	329.61	n/a	n/a	n/a	n/a	n/a	n/a	4.37	3.79	n/a	n/a	n/a	n/a	n/a	n/a	3.998	-10.000	1
29072023 002430.514	217.63	277.77	n/a	n/a	n/a	n/a	n/a	n/a	2.75	3.19	n/a	n/a	n/a	n/a	n/a	n/a	5.996	-10.000	1
29072023 002451.915	197.53	178.65	n/a	n/a	n/a	n/a	n/a	n/a	2.49	2.03	n/a	n/a	n/a	n/a	n/a	n/a	7.995	-10.000	1
29072023 002513.317	185.58	73.63	n/a	n/a	n/a	n/a	n/a	n/a	2.34	0.80	n/a	n/a	n/a	n/a	n/a	n/a	9.994	-10.000	1
29072023 002534.693	119.95	125.72	n/a	n/a	n/a	n/a	n/a	n/a	1.51	1.41	n/a	n/a	n/a	n/a	n/a	n/a	11.993	-10.000	1
29072023 002556.094	49.45	40.86	n/a	n/a	n/a	n/a	n/a	n/a	0.61	0.42	n/a	n/a	n/a	n/a	n/a	n/a	13.991	-10.000	1
29072023 002617.214	69.36	26.19	n/a	n/a	n/a	n/a	n/a	n/a	0.86	0.25	n/a	n/a	n/a	n/a	n/a	n/a	15.990	-10.000	1
29072023 002638.411	56.01	45.29	n/a	n/a	n/a	n/a	n/a	n/a	0.69	0.47	n/a	n/a	n/a	n/a	n/a	n/a	17.989	-10.000	1
29072023 002659.813	59.42	37.67	n/a	n/a	n/a	n/a	n/a	n/a	0.74	0.38	n/a	n/a	n/a	n/a	n/a	n/a	19.988	-10.000	1
29072023 002721.214	55.93	38.24	n/a	n/a	n/a	n/a	n/a	n/a	0.69	0.39	n/a	n/a	n/a	n/a	n/a	n/a	21.986	-10.000	1
29072023 002742.616	29.12	30.22	n/a	n/a	n/a	n/a	n/a	n/a	0.35	0.30	n/a	n/a	n/a	n/a	n/a	n/a	23.985	-10.000	1
29072023 002803.992	12.91	27.62	n/a	n/a	n/a	n/a	n/a	n/a	0.14	0.27	n/a	n/a	n/a	n/a	n/a	n/a	25.984	-10.000	1
29072023 002825.393	19.48	31.16	n/a	n/a	n/a	n/a	n/a	n/a	0.23	0.31	n/a	n/a	n/a	n/a	n/a	n/a	27.983	-10.000	1
29072023 002846.795	14.23	24.59	n/a	n/a	n/a	n/a	n/a	n/a	0.16	0.23	n/a	n/a	n/a	n/a	n/a	n/a	29.981	-10.000	1
29072023 002908.196	7.36	8.28	n/a	n/a	n/a	n/a	n/a	n/a	0.07	0.04	n/a	n/a	n/a	n/a	n/a	n/a	31.980	-10.000	1
29072023 002929.598	5.41	4.48	n/a	n/a	n/a	n/a	n/a	n/a	0.05	-0.00	n/a	n/a	n/a	n/a	n/a	n/a	33.979	-10.000	1
29072023 002950.999	2.00	1.66	n/a	n/a	n/a	n/a	n/a	n/a	0.00	-0.04	n/a	n/a	n/a	n/a	n/a	n/a	35.978	-10.000	1
29072023 003012.401	0.99	2.05	n/a	n/a	n/a	n/a	n/a	n/a	-0.01	-0.03	n/a	n/a	n/a	n/a	n/a	n/a	37.976	-10.000	1
29072023 003033.700	0.73	1.87	n/a	n/a	n/a	n/a	n/a	n/a	-0.01	-0.03	n/a	n/a	n/a	n/a	n/a	n/a	39.975	-10.000	1
29072023 003054.897	0.49	1.87	n/a	n/a	n/a	n/a	n/a	n/a	-0.02	-0.03	n/a	n/a	n/a	n/a	n/a	n/a	41.974	-10.000	1
29072023 003115.991	-0.09	2.29	n/a	n/a	n/a	n/a	n/a	n/a	-0.02	-0.03	n/a	n/a	n/a	n/a	n/a	n/a	43.973	-10.000	1
29072023 003137.214	-0.07	2.36	n/a	n/a	n/a	n/a	n/a	n/a	-0.02	-0.03	n/a	n/a	n/a	n/a	n/a	n/a	45.972	-10.000	1
29072023 003158.308	-0.27	1.51	n/a	n/a	n/a	n/a	n/a	n/a	-0.03	-0.04	n/a	n/a	n/a	n/a	n/a	n/a	47.970	-10.000	1
29072023 003219.505	-0.33	1.30	n/a	n/a	n/a	n/a	n/a	n/a	-0.03	-0.04	n/a	n/a	n/a	n/a	n/a	n/a	49.969	-10.000	1
29072023 012341.691	354.06	540.76	n/a	n/a	n/a	n/a	n/a	n/a	4.49	6.26	n/a	n/a	n/a	n/a	n/a	n/a	0.000	-10.000	1
29072023 012402.913	288.92	284.96	n/a	n/a	n/a	n/a	n/a	n/a	3.66	3.27	n/a	n/a	n/a	n/a	n/a	n/a	1.999	-10.000	1
29072023 012424.111	307.85	302.13	n/a	n/a	n/a	n/a	n/a	n/a	3.90	3.47	n/a	n/a	n/a	n/a	n/a	n/a	3.998	-10.000	1
29072023 012445.512	195.54	242.59	n/a	n/a	n/a	n/a	n/a	n/a	2.47	2.78	n/a	n/a	n/a	n/a	n/a	n/a	5.996	-10.000	1
29072023 012506.913	211.15	202.75	n/a	n/a	n/a	n/a	n/a	n/a	2.67	2.31	n/a	n/a	n/a	n/a	n/a	n/a	7.995	-10.000	1
29072023 012528.290	211.81	45.20	n/a	n/a	n/a	n/a	n/a	n/a	2.68	0.47	n/a	n/a	n/a	n/a	n/a	n/a	9.994	-10.000	1
29072023 012549.691	110.41	138.92	n/a	n/a	n/a	n/a	n/a	n/a	1.38	1.57	n/a	n/a	n/a	n/a	n/a	n/a	11.993	-10.000	1
29072023 012611.093	29.43	105.69	n/a	n/a	n/a	n/a	n/a	n/a	0.35	1.18	n/a	n/a	n/a	n/a	n/a	n/a	13.991	-10.000	1
29072023 012632.495	56.21	86.40	n/a	n/a	n/a	n/a	n/a	n/a	0.69	0.95	n/a	n/a	n/a	n/a	n/a	n/a	15.990	-10.000	1
29072023 012653.896	62.13	48.65	n/a	n/a	n/a	n/a	n/a	n/a	0.77	0.51	n/a	n/a	n/a	n/a	n/a	n/a	17.989	-10.000	1
29072023 012715.298	33.03	47.06	n/a	n/a	n/a	n/a	n/a	n/a	0.40	0.49	n/a	n/a	n/a	n/a	n/a	n/a	19.988	-10.000	1
29072023 012736.699	39.79	44.25	n/a	n/a	n/a	n/a	n/a	n/a	0.49	0.46	n/a	n/a	n/a	n/a	n/a	n/a	21.986	-10.000	1
29072023 012758.101	59.63	31.33	n/a	n/a	n/a	n/a	n/a	n/a	0.74	0.31	n/a	n/a	n/a	n/a	n/a	n/a	23.985	-10.000	1
29072023 012819.503	17.59	27.29	n/a	n/a	n/a	n/a	n/a	n/a	0.20	0.26	n/a	n/a	n/a	n/a	n/a	n/a	25.984	-10.000	1
29072023 012840.904	12.32	18.70	n/a	n/a	n/a	n/a	n/a	n/a	0.14	0.16	n/a	n/a	n/a	n/a	n/a	n/a	27.983	-10.000	1
29072023 012902.203	8.07	16.74	n/a	n/a	n/a	n/a	n/a	n/a	0.08	0.14	n/a	n/a	n/a	n/a	n/a	n/a	29.981	-10.000	1
29072023 012923.400	5.74	3.49	n/a	n/a	n/a	n/a	n/a	n/a	0.05	-0.02	n/a	n/a	n/a	n/a	n/a	n/a	31.980	-10.000	1
29072023 012944.802	2.78	1.64	n/a	n/a	n/a	n/a	n/a	n/a	0.01	-0.04	n/a	n/a	n/a	n/a	n/a	n/a	33.979	-10.000	1
29072023 013005.898	1.23	1.23	n/a	n/a	n/a	n/a	n/a	n/a	-0.01	-0.04	n/a	n/a	n/a	n/a	n/a	n/a	35.978	-10.000	1
29072023 013027.093	0.68	1.56	n/a	n/a	n/a	n/a	n/a	n/a	-0.01	-0.04	n/a	n/a	n/a	n/a	n/a	n/a	37.976	-10.000	1
29072023 013048.290	0.21	1.59	n/a	n/a	n/a	n/a	n/a	n/a	-0.02	-0.04	n/a	n/a	n/a	n/a	n/a	n/a	39.975	-10.000	1
29072023 013109.691	0.53	1.77	n/a	n/a	n/a	n/a	n/a	n/a	-0.01	-0.04	n/a	n/a	n/a	n/a	n/a	n/a	41.974	-10.000	1
29072023 013131.093	0.50	2.45	n/a	n/a	n/a	n/a	n/a	n/a	-0.02	-0.03	n/a	n/a	n/a	n/a	n/a	n/a	43.973	-10.000	1
29072023 013152.495	0.04	2.36	n/a	n/a	n/a	n/a	n/a	n/a	-0.02	-0.03	n/a	n/a	n/a	n/a	n/a	n/a	45.972	-10.000	1
29072023 013213.794	-0.26	1.19	n/a	n/a	n/a	n/a	n/a	n/a	-0.02	-0.04	n/a	n/a	n/a	n/a	n/a	n/a	47.970	-10.000	1
29072023 013234.991	-0.40	1.04	n/a	n/a	n/a	n/a	n/a	n/a	-0.03	-0.04	n/a	n/a	n/a	n/a	n/a	n/a	49.969	-10.000	1
29072023 022357.413	327.25	498.08	n/a	n/a	n/a	n/a	n/a	n/a	4.15	5.76	n/a	n/a	n/a	n/a	n/a	n/a	0.000	-10.000	1
29072023 022418.609	223.62	265.92	n/a	n/a	n/a	n/a	n/a	n/a	2.83	3.05	n/a	n/a	n/a	n/a	n/a	n/a	1.999	-10.000	1
29072023 022439.811	231.30	260.30	n/a	n/a	n/a	n/a	n/a	n/a	2.92	2.98	n/a	n/a	n/a	n/a	n/a	n/a	3.998	-10.000	1
29072023 022501.208	150.03	155.43	n/a	n/a	n/a	n/a	n/a	n/a	1.89	1.76	n/a	n/a	n/a	n/a	n/a	n/a	5.996	-10.000	1
29072023 022522.610	189.31	138.21	n/a	n/a	n/a	n/a	n/a	n/a	2.39	1.56	n/a	n/a	n/a	n/a	n/a	n/a	7.995	-10.000	1
29072023 022544.011	140.48	26.58	n/a	n/a	n/a	n/a	n/a	n/a	1.77	0.25	n/a	n/a	n/a	n/a	n/a	n/a	9.994	-10.000	1
29072023 022605.413	41.62	95.13	n/a	n/a	n/a	n/a	n/a	n/a	0.51	1.05	n/a	n/a	n/a	n/a	n/a	n/a	11.993	-10.000	1
29072023 022626.815	92.35	104.36	n/a	n/a	n/a	n/a	n/a	n/a	1.15	1.16	n/a	n/a	n/a	n/a	n/a	n/a	13.991	-10.000	1
29072023 022648.216	27.02	70.60	n/a	n/a	n/a	n/a	n/a	n/a	0.32	0.77	n/a	n/a	n/a	n/a	n/a	n/a	15.990	-10.000	1
29072023 022709.592	23.85	34.90	n/a	n/a	n/a	n/a	n/a	n/a	0.28	0.35	n/a	n/a	n/a	n/a	n/a	n/a	17.989	-10.000	1
29072023 022730.994	49.37	36.63	n/a	n/a	n/a	n/a	n/a	n/a	0.61	0.37	n/a	n/a	n/a	n/a	n/a	n/a	19.988	-10.000	1
