Time	Channel 1 (mV)	Channel 2 (mV)	Channel 3 (mV)	Channel 4 (mV)	Channel 5 (mV)	Channel 6 (mV)	Channel 7 (mV)	Channel 8 (mV)	Channel 1_cal (µmol/L)	Channel 2_cal (µmol/L)	Channel 3_cal ()	Channel 4_cal ()	Channel 5_cal ()	Channel 6_cal ()	Channel 7_cal ()	Channel 8_cal ()	Motor 1 (mm)	Motor 2 (mm)	GroupId
29072023 221344.692	64.13	55.64	n/a	n/a	n/a	n/a	n/a	n/a	0.80	0.59	n/a	n/a	n/a	n/a	n/a	n/a	37.976	-9.942	1
29072023 221405.787	64.32	24.61	n/a	n/a	n/a	n/a	n/a	n/a	0.80	0.23	n/a	n/a	n/a	n/a	n/a	n/a	39.975	-9.942	1
29072023 221426.984	74.12	45.41	n/a	n/a	n/a	n/a	n/a	n/a	0.92	0.47	n/a	n/a	n/a	n/a	n/a	n/a	41.974	-9.942	1
29072023 221448.078	83.92	68.66	n/a	n/a	n/a	n/a	n/a	n/a	1.05	0.74	n/a	n/a	n/a	n/a	n/a	n/a	43.973	-9.942	1
29072023 221509.300	92.89	71.43	n/a	n/a	n/a	n/a	n/a	n/a	1.16	0.78	n/a	n/a	n/a	n/a	n/a	n/a	45.972	-9.942	1
29072023 221530.394	93.29	72.74	n/a	n/a	n/a	n/a	n/a	n/a	1.17	0.79	n/a	n/a	n/a	n/a	n/a	n/a	47.970	-9.942	1
29072023 221551.591	80.79	68.90	n/a	n/a	n/a	n/a	n/a	n/a	1.01	0.75	n/a	n/a	n/a	n/a	n/a	n/a	49.969	-9.942	1
29072023 223824.878	733.10	876.04	n/a	n/a	n/a	n/a	n/a	n/a	9.32	10.17	n/a	n/a	n/a	n/a	n/a	n/a	0.000	-9.942	1
29072023 223846.177	353.40	335.77	n/a	n/a	n/a	n/a	n/a	n/a	4.48	3.86	n/a	n/a	n/a	n/a	n/a	n/a	1.999	-9.942	1
29072023 223907.476	339.11	304.02	n/a	n/a	n/a	n/a	n/a	n/a	4.30	3.49	n/a	n/a	n/a	n/a	n/a	n/a	3.998	-9.942	1
29072023 223928.673	321.01	289.08	n/a	n/a	n/a	n/a	n/a	n/a	4.07	3.32	n/a	n/a	n/a	n/a	n/a	n/a	5.996	-9.942	1
29072023 223949.793	291.14	250.42	n/a	n/a	n/a	n/a	n/a	n/a	3.69	2.87	n/a	n/a	n/a	n/a	n/a	n/a	7.995	-9.942	1
29072023 224010.990	238.03	203.40	n/a	n/a	n/a	n/a	n/a	n/a	3.01	2.32	n/a	n/a	n/a	n/a	n/a	n/a	9.994	-9.942	1
