Time	Channel 1 (mV)	Channel 2 (mV)	Channel 3 (mV)	Channel 4 (mV)	Channel 5 (mV)	Channel 6 (mV)	Channel 7 (mV)	Channel 8 (mV)	Channel 1_cal (µmol/L)	Channel 2_cal (µmol/L)	Channel 3_cal ()	Channel 4_cal ()	Channel 5_cal ()	Channel 6_cal ()	Channel 7_cal ()	Channel 8_cal ()	Motor 1 (mm)	Motor 2 (mm)	GroupId
29072023 141931.991	59.71	45.29	n/a	n/a	n/a	n/a	n/a	n/a	0.74	0.47	n/a	n/a	n/a	n/a	n/a	n/a	47.970	-10.000	1
29072023 141953.188	59.89	51.17	n/a	n/a	n/a	n/a	n/a	n/a	0.74	0.54	n/a	n/a	n/a	n/a	n/a	n/a	49.969	-10.000	1
29072023 151115.475	837.43	883.08	n/a	n/a	n/a	n/a	n/a	n/a	10.65	10.25	n/a	n/a	n/a	n/a	n/a	n/a	0.000	-10.000	1
29072023 151136.671	815.51	857.69	n/a	n/a	n/a	n/a	n/a	n/a	10.37	9.96	n/a	n/a	n/a	n/a	n/a	n/a	1.999	-10.000	1
29072023 151157.868	380.56	253.68	n/a	n/a	n/a	n/a	n/a	n/a	4.83	2.90	n/a	n/a	n/a	n/a	n/a	n/a	3.998	-10.000	1
29072023 151218.988	261.12	292.86	n/a	n/a	n/a	n/a	n/a	n/a	3.30	3.36	n/a	n/a	n/a	n/a	n/a	n/a	5.996	-10.000	1
29072023 151240.185	330.12	298.28	n/a	n/a	n/a	n/a	n/a	n/a	4.18	3.43	n/a	n/a	n/a	n/a	n/a	n/a	7.995	-10.000	1
29072023 151301.586	289.85	293.10	n/a	n/a	n/a	n/a	n/a	n/a	3.67	3.36	n/a	n/a	n/a	n/a	n/a	n/a	9.994	-10.000	1
29072023 151322.988	297.82	288.01	n/a	n/a	n/a	n/a	n/a	n/a	3.77	3.31	n/a	n/a	n/a	n/a	n/a	n/a	11.993	-10.000	1
29072023 151344.390	298.95	273.22	n/a	n/a	n/a	n/a	n/a	n/a	3.79	3.13	n/a	n/a	n/a	n/a	n/a	n/a	13.991	-10.000	1
29072023 151405.765	275.09	261.26	n/a	n/a	n/a	n/a	n/a	n/a	3.48	2.99	n/a	n/a	n/a	n/a	n/a	n/a	15.990	-10.000	1
29072023 151426.886	267.61	231.95	n/a	n/a	n/a	n/a	n/a	n/a	3.39	2.65	n/a	n/a	n/a	n/a	n/a	n/a	17.989	-10.000	1
29072023 151447.980	214.98	201.92	n/a	n/a	n/a	n/a	n/a	n/a	2.72	2.30	n/a	n/a	n/a	n/a	n/a	n/a	19.988	-10.000	1
29072023 151509.176	109.24	105.32	n/a	n/a	n/a	n/a	n/a	n/a	1.37	1.17	n/a	n/a	n/a	n/a	n/a	n/a	21.986	-10.000	1
29072023 151530.373	103.05	87.68	n/a	n/a	n/a	n/a	n/a	n/a	1.29	0.97	n/a	n/a	n/a	n/a	n/a	n/a	23.985	-10.000	1
29072023 151551.673	105.55	84.82	n/a	n/a	n/a	n/a	n/a	n/a	1.32	0.93	n/a	n/a	n/a	n/a	n/a	n/a	25.984	-10.000	1
29072023 151612.869	91.22	97.26	n/a	n/a	n/a	n/a	n/a	n/a	1.14	1.08	n/a	n/a	n/a	n/a	n/a	n/a	27.983	-10.000	1
29072023 151633.989	85.38	69.96	n/a	n/a	n/a	n/a	n/a	n/a	1.07	0.76	n/a	n/a	n/a	n/a	n/a	n/a	29.981	-10.000	1
29072023 151655.186	75.49	56.77	n/a	n/a	n/a	n/a	n/a	n/a	0.94	0.61	n/a	n/a	n/a	n/a	n/a	n/a	31.980	-10.000	1
29072023 151716.280	70.16	54.70	n/a	n/a	n/a	n/a	n/a	n/a	0.87	0.58	n/a	n/a	n/a	n/a	n/a	n/a	33.979	-10.000	1
29072023 151737.477	75.94	69.99	n/a	n/a	n/a	n/a	n/a	n/a	0.95	0.76	n/a	n/a	n/a	n/a	n/a	n/a	35.978	-10.000	1
29072023 151758.571	77.79	73.04	n/a	n/a	n/a	n/a	n/a	n/a	0.97	0.80	n/a	n/a	n/a	n/a	n/a	n/a	37.976	-10.000	1
